season,ranker,team,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,made_playoffs
2001,18,Los Angeles Clippers,82,20030,38.7,86.4,0.448,4.8,14.2,0.33899999999999997,33.9,72.2,0.46900000000000003,19.1,27.5,0.693,12.9,34.2,47.1,21.2,6.5,6.9,17.3,23.7,101.3,FALSE
2001,19,New York Knicks,82,19905,38.3,86.2,0.444,5.4,15.5,0.351,32.9,70.7,0.465,19.1,24,0.7959999999999999,10.8,35.1,45.9,21.1,7.6,4.8,16.5,25.9,101.2,TRUE
2001,20,Miami Heat,82,19880,37.4,86.8,0.43000000000000005,6.6,19.2,0.345,30.7,67.6,0.455,19.7,26,0.759,11.3,33.8,45,22.6,8.8,4.2,15.6,23.9,101.1,TRUE
2001,21,Washington Wizards,82,19680,37.3,84.9,0.43900000000000006,3.6,11.2,0.324,33.7,73.8,0.456,22.4,29.5,0.759,13.4,31.2,44.6,21.7,8.3,5,18.3,25.2,100.6,FALSE
2001,22,Phoenix Suns,82,19805,38.3,87.9,0.43600000000000005,4.3,13.7,0.315,34,74.2,0.458,19.4,25.7,0.755,12.6,32.9,45.5,24.8,10.1,5.6,16.3,24.3,100.3,TRUE
2001,23,Cleveland Cavaliers,82,19830,38.3,86.7,0.442,2.9,8.7,0.33399999999999996,35.4,77.9,0.455,20.7,27.1,0.765,13.5,32.4,45.8,22.7,8.5,5.8,17.9,25.3,100.3,FALSE
2001,24,New Jersey Nets,82,19730,36.8,86.8,0.42500000000000004,4.8,14.4,0.33299999999999996,32.1,72.4,0.443,21.6,28.4,0.759,12,31,43,21.2,8.6,5.4,16,26.3,100,FALSE
2001,25,Detroit Pistons,82,19855,37.2,87.8,0.42400000000000004,5,14.2,0.35,32.3,73.6,0.43900000000000006,20.5,28.5,0.721,14.1,33.5,47.6,20.8,7.8,5.7,16.6,24.9,100,FALSE
2001,26,Vancouver Grizzlies,82,19780,38,86.5,0.43900000000000006,4.3,12.5,0.34299999999999997,33.7,74,0.455,19.3,25,0.77,11.8,32.2,44,25.1,7.8,4.8,17.1,22.9,99.6,FALSE
2001,27,Atlanta Hawks,82,19730,38,88.2,0.43100000000000005,4.4,12.3,0.357,33.6,75.9,0.443,18.2,24,0.759,13.6,32.9,46.5,20.6,8.4,5.1,18.1,24.6,98.7,FALSE
